DishID,Time,Ingredients,Name,Filename,
A001,15,"Ad, Pasta, Zucchini, Noodles, Paprika, Sugarsnaps, Carrot, Lime, Ginger, Cashew Nuts, Tahin",Noodles With Tahin And Zucchini,A001.jpg,.jpg
A002,15,"Ad, Noodles, Mushrooms, Egg, Lime, Cucumber, Tahin",Sweet Sesam Noodles With Fried Egg,A002.jpg,
A003,20,"Ad, Pasta, Penne, Salad, Radicchio, Iceberg Salad, Tomato, White Cheese, Avocado, Chicken, Chicken Filet",Pasta Salad With Chicken And Avocado,A003.jpg,
A004,20,"Ad, Shrimps, Fusili, Pasta, Salad, Cream, Goat Cheese, Zucchini, Paprika",Shrimps With Fusili in Creamy Curry Sauce,A004.jpg,
A005,20,"Ad, Pasta, Spaghetti, Cherry Tomatoes, Shrimps, Rucola, Lemon, Cream, Kookhaver Bio",Quick Spaghetti With Lemon-garlic Shrimps,A005.jpg,
A006,20,"Ad, Pasta, Penne, Cream Cheese, Cherry Tomoatoes, Spinach, Paprika, Olives",Creamy Pasta Met Chorizo And Olives,A006.jpg,
A007,20,"Ad, Noodles, Bosui, Carrot, Sugar Snaps, Paprika, Tauge, Ginger, Lime",,A007.jpg,
A008,20,"Ad, Pasta, Casarecce, Shrimps, Zucchini, Leek, White Wine, Beurre Blanc, Parmigiano, Curry Powder",,A008.jpg,
A009,25,"Ad, Pasta, Dried Tomatoes, Kookroom, Zucchini, Spinace, Fiocchi, Cherry Tomatoes",,A009.jpg,
A010,25,"Ad, Mushrooms, Aglio E Olio, Parmigiano, Pasta, Spaghetti, Passata, Cherry Tomatoes",,A010.jpg,
A011,20,"Ad, Pasta, Linguine, Cherry Tomatoes, Spinach, Red Pesto, Basilicum",,A011.jpg,
A012,20,"Ad, Pasta, Zucchini, Semi Dried Tomatoes, Penne, Cream, Basilicum, Rucola",,A012.jpg,
A013,20,"Ad, Pasta, Leek, Kookroom, Spinach, Smoked Salmon, Lemon",,A013.jpg,
A014,20,"Ad, Paprika, Pasta, Conchiglie, Salad, Feta, Basilicum",,A014.jpg,
